City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hutchinson,US,89.01,broken clouds,38.06,-97.93,Hampton Inn Hutchinson
3,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
6,Butaritari,KI,83.01,few clouds,3.07,172.79,Isles Sunset Lodge
7,Namatanai,PG,82.31,light rain,-3.67,152.43,Namatanai Hotel
10,Mayo,US,81.0,few clouds,38.89,-76.51,Resorts Resource Group International
18,Almeirim,BR,82.96,scattered clouds,-1.52,-52.58,Ricácio Hotel
21,Cayenne,GF,84.2,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
22,Kudahuvadhoo,MV,83.19,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
24,Arlit,NE,87.69,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
26,Manokwari,ID,76.87,light rain,-0.87,134.08,Swiss Belhotel Manokwari
30,Tual,ID,79.18,scattered clouds,-5.67,132.75,Grand Vilia Hotel
40,Sur,OM,84.4,broken clouds,22.57,59.53,Sur Plaza Hotel
42,Bengkulu,ID,75.65,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
46,Barquisimeto,VE,86.0,moderate rain,10.07,-69.32,POSADA PARAISO DE LARA CA
54,Hithadhoo,MV,82.11,broken clouds,-0.6,73.08,Scoop Guest House
56,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Atuona,PF,78.71,light rain,-9.8,-139.03,Villa Enata
62,Itarema,BR,78.89,clear sky,-2.92,-39.92,Windvillage
71,Buala,SB,83.89,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
72,Gerash,IR,84.2,clear sky,27.67,54.14,Chelpasin
75,Bethel,US,75.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
77,Codo,BR,84.38,clear sky,-4.46,-43.89,Hotel Porto do Sol
80,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
81,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
82,Naliya,IN,79.41,moderate rain,23.27,68.83,Hotel Panchvati
83,Sinnamary,GF,80.76,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
85,Pirapemas,BR,83.55,clear sky,-3.73,-44.22,HOTEL DA LOURA
86,Qingdao,CN,80.6,moderate rain,36.1,120.37,Holiday Inn Qingdao City Centre
87,Karpathos,GR,77.0,clear sky,35.51,27.21,Alex
90,Hasaki,JP,77.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
97,Missoula,US,75.2,few clouds,47.02,-113.8,Gold Creek Cabin
101,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
102,Awbari,LY,88.25,clear sky,26.59,12.78,فندق أوباري
106,Kavieng,PG,83.8,overcast clouds,-2.57,150.8,Nusa Island Retreat
108,Seoul,KR,77.0,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
112,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
113,Samarai,PG,78.93,light rain,-10.62,150.67,Nuli Sapi
121,Erzin,TR,80.01,clear sky,36.96,36.2,Artemis Otel
125,Burlington,US,78.8,few clouds,39.88,-74.64,Delanco Camp
126,Coahuayana,MX,75.2,mist,18.73,-103.68,Hotel Los Arcos
129,Touros,BR,77.0,clear sky,-5.2,-35.46,INN NEW HORIZON
135,Jalalabad,AF,84.51,moderate rain,34.43,70.45,انصاف چهاردهي هوټل
137,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
140,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
144,Kalmunai,LK,79.75,overcast clouds,7.42,81.82,VS Villa
145,Fredericksburg,US,82.4,scattered clouds,38.3,-77.46,Courtyard by Marriott Fredericksburg Historic District
149,Dwarka,IN,81.37,moderate rain,22.24,68.97,Hotel Narayan Avezika Comfort
150,Pasni,PK,80.89,clear sky,25.26,63.47,3G hotel pasni
155,Maumere,ID,76.28,clear sky,-8.62,122.21,Sylvia Hotel
