City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.53,20.04,44.6,81,16,8.05,few clouds
1,Dikson,RU,73.51,80.55,41.88,97,100,15.21,overcast clouds
2,Hutchinson,US,38.06,-97.93,89.01,45,75,8.05,broken clouds
3,Victoria,HK,22.29,114.16,82.0,83,50,1.5,light rain
4,Constitucion,CL,-35.33,-72.42,52.45,68,0,13.69,clear sky
5,Bonavista,CA,48.65,-53.11,57.0,79,97,16.58,overcast clouds
6,Butaritari,KI,3.07,172.79,83.01,71,17,11.59,few clouds
7,Namatanai,PG,-3.67,152.43,82.31,78,34,9.04,light rain
8,Bilibino,RU,68.05,166.44,42.98,68,100,5.21,overcast clouds
9,Bluff,NZ,-46.6,168.33,54.19,62,53,22.64,broken clouds
10,Mayo,US,38.89,-76.51,81.0,47,20,8.05,few clouds
11,Rikitea,PF,-23.12,-134.97,69.1,83,21,18.97,light rain
12,Barrow,US,71.29,-156.79,39.2,86,90,16.11,overcast clouds
13,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,90,16.11,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,28.4,92,75,26.4,snow
15,Hermanus,ZA,-34.42,19.23,39.0,88,3,12.44,clear sky
16,Hobart,AU,-42.88,147.33,46.0,56,20,12.75,few clouds
17,Nikolskoye,RU,59.7,30.79,59.0,87,96,4.47,overcast clouds
18,Almeirim,BR,-1.52,-52.58,82.96,65,42,4.88,scattered clouds
19,Angoche,MZ,-16.23,39.91,72.21,76,2,11.14,clear sky
20,Saskylakh,RU,71.92,114.08,47.43,83,64,4.94,broken clouds
21,Cayenne,GF,4.93,-52.33,84.2,74,100,9.17,overcast clouds
22,Kudahuvadhoo,MV,2.67,72.89,83.19,69,99,6.93,overcast clouds
23,Bayir,TR,37.27,28.22,71.6,83,0,1.12,clear sky
24,Arlit,NE,18.74,7.39,87.69,43,100,2.39,overcast clouds
25,Busselton,AU,-33.65,115.33,39.0,77,0,3.69,clear sky
26,Manokwari,ID,-0.87,134.08,76.87,82,99,4.36,light rain
27,Baisha,CN,26.52,110.93,71.58,80,1,1.45,clear sky
28,Nanortalik,GL,60.14,-45.24,46.63,80,99,6.42,overcast clouds
29,Tiksi,RU,71.69,128.87,42.49,87,12,8.41,few clouds
30,Tual,ID,-5.67,132.75,79.18,87,39,14.67,scattered clouds
31,Torbay,CA,47.67,-52.73,70.0,100,90,13.87,light rain
32,Khatanga,RU,71.97,102.5,43.47,92,89,7.09,overcast clouds
33,Berlevag,NO,70.86,29.09,44.6,81,40,8.05,scattered clouds
